BR01,動物園,Taipei Zoo
BR02,木柵,Muzha
BR03,萬芳社區,Wanfang Community
BR04,萬芳醫院,Wanfang Hospital
BR05,辛亥,Xinhai
BR06,麟光,Linguang
BR07,六張犁,Liuzhangli
BR08,科技大樓,Technology Building
BR09,大安,Daan
R05,大安,Daan
BR10,忠孝復興,Zhongxiao Fuxing
BL15,忠孝復興,Zhongxiao Fuxing
BR12,中山國中,Zhongshan Junior High School
BR13,松山機場,Songshan Airport
BR14,大直,Dazhi
BR15,劍南路,Jiannan Rd.
BR16,西湖,Xihu
BR17,港墘,Gangqian
BR18,文德,Wende
BR19,內湖,Neihu
BR20,大湖公園,Dahu Park
BR21,葫洲,Huzhou
BR22,東湖,Donghu
BR23,南港軟體園區,Nangang Software Park
BR24,南港展覽館,Taipei Nangang Exhibition Center
BL23,南港展覽館,Taipei Nangang Exhibition Center
R02,象山,Xiangshan
R03,台北101/世貿,Taipei 101/World Trade Center
R04,信義安和,Xinyi Anhe
R06,大安森林公園,Daan Park
R07,東門,Dongmen
R08,中正紀念堂,Chiang Kai-Shek Memorial Hall
G10,中正紀念堂,Chiang Kai-Shek Memorial Hall
R09,台大醫院,NTU Hospital
R10,台北車站,Taipei Main Station
BL12,台北車站,Taipei Main Station
R11,中山,Zhongshan
G14,中山,Zhongshan
R12,雙連,Shuanglian
R13,民權西路,Minzuan W. Rd.
O11,民權西路,Minzuan W. Rd.
R14,圓山,Yuanshan
R15,劍潭,Jiantan
R16,士林,Shilin
R17,芝山,Zhishan
R18,明德,Mingde
R19,石牌,Shipai
R20,唭哩岸,Qilian
R21,奇岩,Qiyan
R22,北投,Beitou
R22A,新北投,Xinbeitou
R23,復興崗,Fuxinggang
R24,忠義,Zhongyi
R25,關渡,Guandu
R26,竹圍,Zhuwei
R27,紅樹林,Hongshulin
R28,淡水,Tamsui
G01,新店,Xindian
G02,新店區公所,Xindian District Office
G03,七張,Qizhang
G01A,小碧潭,Xiaobitan
G04,大坪林,Dapinglin
G05,景美,Jingmei
G06,萬隆,Wanlong
G07,公館,Gongguan
G08,台電大樓,Taipower Building
G09,古亭,Guting
O05,古亭,Guting
G11,小南門,Xiaonanmen
G13,北門,Beimen
G15,松江南京,Songliang Nanjing
O08,松江南京,Songliang Nanjing
G16,南京復興,Nanjing Fuxing
BR11,南京復興,Nanjing Fuxing
G17,台北小巨蛋,Taipei Arena
G18,南京三民,Nanjing Sanmin
G19,松山,Songshan
O01,南勢角,Nanshijiao
O02,景安,Jingan
O03,永安市場,Yongan Market
O04,頂溪,Dingxi
O09,行天宮,Xingtian Temple
O10,中山國小,Zhongshan Elementary School
O12,大橋頭,Daqiaotou
O13,台北橋,Taipei Bridge
O14,菜寮,Cailiao
O15,三重,Sanchong
O16,先嗇宮,Xianse Temple
O17,頭前庄,Touqianzhuang
O18,新莊,Xinzhuang
O19,輔大,Fu Jen University
O20,丹鳳,Danfeng
O21,迴龍,Huilong
O50,三重國小,Sanchong Elementary School
O51,三和國中,Sanhe Junior High School
O52,徐匯中學,St.lgnatius High School
O53,三民高中,Sanmin Senior High School
O54,蘆洲,Luzhou
BL01,頂埔,Dingpu
BL02,永寧,Yongning
BL03,土城,Tucheng
BL04,海山,Haishan
BL05,亞東醫院,Far Eastern Hospital
BL06,府中,Fuzhong
BL07,板橋,Banqiao
BL08,新埔,Xinpu
BL09,江子翠,Jiangzicui
BL10,龍山寺,Longshan Temple
BL11,西門,Ximen
G12,西門,Ximen
BL13,善導寺,Shandao Temple
BL14,忠孝新生,Zhongxiao Xinsheng
O07,忠孝新生,Zhongxiao Xinsheng
BL16,忠孝敦化,Xhongxiao Dunhua
BL17,國父紀念館,Sun Yat-Sen Memorial Hall
BL18,市政府,Taipei City Hall
BL19,永春,Yongchun
BL20,後山埤,Houshanpi
BL21,昆陽,Kunyang
BL22,南港,Nangang
